,misc,misc_features
217,"<a href=""https://www.kathiravan.com/search/label/Others?&amp;max-results=7"" rel=""tag"">Others</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>span>a"", ""next_sibling"": ""a"", ""parent_node"": ""span"", ""prev_sibling"": ""i"", ""child_nodes"": [], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [0, 0, 0, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
218,"<span class=""label-head"">
<i class=""fa fa-folder-open-o""></i>
<a href=""https://www.kathiravan.com/search/label/Others?&amp;max-results=7"" rel=""tag"">Others</a>,
<a href=""https://www.kathiravan.com/search/label/slider?&amp;max-results=7"" rel=""tag"">slider</a>
</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>span"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": ""span"", ""child_nodes"": [""a"", ""i""], ""x"": 35.703125, ""y"": 523.75, ""height"": 15, ""width"": 96, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [189, 189, 189, 1], ""font_size"": ""13px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
219,<p> கதிரவன் வாசகர்களுக்கு இனிய பொங்கல் புத்தாண்டு நல்வாழ்த்துகள்</p>,"{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p"", ""next_sibling"": ""div"", ""parent_node"": ""div"", ""prev_sibling"": ""meta"", ""child_nodes"": []}"
220,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">​தமிழன் என்று சொல்லடா</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 25.703125, ""y"": 818.75, ""height"": 16, ""width"": 100, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
221,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">--தலை நிமிர்ந்து நில்லடா</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 844.75, ""height"": 16, ""width"": 119, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
222,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">உள்ளத்தில் நிறைந்த ஒலியடா</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 870.75, ""height"": 16, ""width"": 125, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
223,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">--​உயிரில் கலந்த வரிகளடா !</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 896.75, ""height"": 16, ""width"": 122, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
224,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">திருவிழாக்கள் நடக்கும் இல்லமும்</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 948.75, ""height"": 16, ""width"": 156, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
225,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">--திருநாளாய் தித்திக்கும் இதயமும்</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 974.75, ""height"": 16, ""width"": 165, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
226,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">திகட்டாத இனிப்பாய் இருந்திடும்</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1000.75, ""height"": 16, ""width"": 151, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
227,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">__தினம்தினம் நினைவில் வந்திடும்.</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1026.75, ""height"": 16, ""width"": 165, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
228,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">அன்பு தமிழ் நெஞ்சங்களுக்கு ,</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1078.75, ""height"": 16, ""width"": 138, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
229,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">என்னருமை எழுத்து நண்பர்களுக்கு ,</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1104.75, ""height"": 16, ""width"": 159, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
230,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">தைத் திருநாளாம் பொங்கல் தின வாழ்த்துக்கள்</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1156.75, ""height"": 16, ""width"": 205, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
231,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">தை முதல் நாள் தமிழ் புத்தாண்டு வாழ்த்துக்கள் .</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1208.75, ""height"": 16, ""width"": 227, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
232,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">இன்பமே பொங்கி வழியட்டும்</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1260.75, ""height"": 16, ""width"": 120, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
233,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">இல்லங்களிலும் , இதயங்களிலும் !</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1286.75, ""height"": 16, ""width"": 147, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
234,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">அல்லல் நீங்கி மகிழ்ச்சி பெருகட்டும்</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1338.75, ""height"": 16, ""width"": 175, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
235,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">அன்பு நிறைந்து அகங்கள் மகிழட்டும் !</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1364.75, ""height"": 16, ""width"": 173, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
236,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">குறைகள் மறைந்து குதூகலம் கூடட்டும்</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1416.75, ""height"": 16, ""width"": 170, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
237,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">கவலைகள் நீங்கி களிப்புடன் வாழட்டும் !</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1442.75, ""height"": 16, ""width"": 183, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
238,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">அநீதிகள் அகன்று நீதியே நிலைக்கட்டும்</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1494.75, ""height"": 16, ""width"": 180, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
239,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">அகிலமே ஆனந்தத்தில் இனி மிதக்கட்டும் !</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1520.75, ""height"": 16, ""width"": 183, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
240,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">அனைவருக்கும் என்னுடைய தமிழர் திருநாள் வாழ்த்துக்கள் !!!</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": ""br"", ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1572.75, ""height"": 16, ""width"": 271, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
241,"<span style=""background-color: #f4f4f4; font-family: Arial, Helvetica, sans-serif; font-size: 14px;"">பழனி குமார்</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": null, ""parent_node"": ""p"", ""prev_sibling"": ""br"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1624.75, ""height"": 16, ""width"": 55, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [244, 244, 244, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Arial, Helvetica, sans-serif""}"
242,"<a class=""read-more anchor-hover"" href=""https://www.kathiravan.com/2022/01/blog-post_14.html"">Read more <i class=""fa fa-chevron-right""></i></a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>a"", ""next_sibling"": ""span"", ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [""i""], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [0, 0, 0, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
243,"<span class=""post-labels"">
Tags
<a href=""https://www.kathiravan.com/search/label/Others?&amp;max-results=7"" rel=""tag"">Others</a>,
<a href=""https://www.kathiravan.com/search/label/slider?&amp;max-results=7"" rel=""tag"">slider</a>
</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>span"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [""a""], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
244,"<a class=""blog-pager-newer-link"" href=""https://www.kathiravan.com/2022/02/2.html"" id=""Blog1_blog-pager-newer-link"" title=""Newer Post"">Newer Post</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>span>a"", ""next_sibling"": null, ""parent_node"": ""span"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [34, 34, 34, 1], ""font_color"": [255, 255, 255, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
245,"<a class=""blog-pager-older-link"" href=""https://www.kathiravan.com/2022/01/blog-post_5.html"" id=""Blog1_blog-pager-older-link"" title=""Older Post"">Older Post</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>span>a"", ""next_sibling"": null, ""parent_node"": ""span"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [34, 34, 34, 1], ""font_color"": [255, 255, 255, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
